EnzymeID,GeneName
RHEA:57084,"DALL2, DALL4, DALL3, DALL5"
RHEA:33159,NAPEPLD
RHEA:53164,NAPEPLD
RHEA:56464,NAPEPLD
RHEA:22288,Endoglycoceramidase
RHEA:33551,"YDC1, ACER2, ACER1, ACER2"
RHEA:32731,"LIPE, HSL"
RHEA:32967,LPL1
RHEA:61528,"PNPLA1, PLB1, PDAT1, "
RHEA:62032,LPL1
RHEA:44664,"PNLIPRP2 ,PLA2G1B, ABHD3, PLAAT3, PLIP2, PNPLA8, PLA2G7"
RHEA:44420,"LPL1, PLA2G4A, LIPI, PLA2G10, PLA2"
RHEA:45460,"ABHD4, PLA2G1B"
RHEA:45896,CPES
RHEA:48344,"UGT8, CGT-1/2/3"
RHEA:48372,"DALL2/3/4, DGL, PNLIPIP2"
