股票代码,股票简称,现价(元),a股流通市值 (元)2022.05.26,涨跌幅(%),涨停2022.05.26,涨停类型2022.05.26,几天几板2022.05.26,首次涨停时间2022.05.26,最终涨停时间2022.05.26,涨停明细数据2022.05.26,连续涨停天数(天)2022.05.26,涨停原因类别2022.05.26,涨停封单量(股)2022.05.26,涨停封单额(元)2022.05.26,涨停封成比(%)2022.05.26,涨停封流比(%)2022.05.26,涨停开板次数(次)2022.05.26
000017.SZ,深中华A,3.68,1078612388.48,3.37,涨停,放量涨停,首板涨停,09:31:30,09:31:30,,1,锂电池+两轮车+珠宝,7857000,27970920,71.22,2.59,0
000025.SZ,特力A,16.29,5817046919.2,9.99,涨停,放量涨停,2天2板,10:15:01,10:15:01,,2,汽车服务+物业管理+珠宝,4304865,63755050.65,24.81,1.1,0
000062.SZ,深圳华强,12.67,13474733209.8,-1.78,涨停,放量涨停,首板涨停,10:20:01,10:20:01,,1,电子元器件+深圳本地股,3184211,41076321.9,50.98,0.3,0
000404.SZ,长虹华意,5.84,3694521559.32,9.98,涨停,放量涨停,2天2板,09:32:15,09:45:15,,2,家用零部件+新能源汽车,6267053,33278051.43,11.34,0.9,2
000546.SZ,金圆股份,14.25,10279397511.19,-0.97,涨停,放量涨停,首板涨停,10:36:46,14:11:20,,1,盐湖提锂+建筑材料,1458700,20990693,2.62,0.2,7
000547.SZ,航天发展,10.9,12915624399.25,6.34,涨停,放量涨停,首板涨停,10:32:01,13:45:39,,1,军工+卫星导航,6748626,69173416.5,9.57,0.54,1
000595.SZ,宝塔实业,5.4,5587795873.06,9.98,涨停,放量涨停,3天3板,09:35:45,09:36:15,,3,军工+国产航母,20972484,102974896.44,22.96,1.84,1
000606.SZ,*ST顺利,1.48,1053730392.94,-0.67,涨停,缩量涨停,首板涨停,09:44:00,09:44:00,,1,ST板块,2568998,3827807.02,33.76,0.36,0
000680.SZ,山推股份,5.17,5379941939.77,1.57,涨停,放量涨停,首板涨停,11:25:20,14:51:05,,1,工程机械+新型城镇化,1475318,7509368.62,0.74,0.14,8
000681.SZ,视觉中国,13.7,8670223525.32,-4.46,涨停,缩量涨停,2天2板,09:30:30,09:30:30,,2,NFT概念+传媒,9054708,129844512.72,40.27,1.5,0
000756.SZ,新华制药,38.6,15310915144.8,10,涨停,放量涨停,24天17板,14:51:20,14:51:20,,1,医药+新冠治疗,7476254,262341752.86,7.43,1.71,0
000880.SZ,潍柴重机,10.12,1491890400,10,涨停,放量涨停,首板涨停,09:48:45,09:48:45,,1,海工装备,3350726,30826679.2,33.45,2.07,0
000918.SZ,嘉凯城,2.38,4420269175,-2.86,涨停,缩量涨停,首板涨停,09:34:00,09:34:00,,1,房地产开发+REITs,15448700,37849315,27.18,0.86,0
000957.SZ,中通客车,12.41,6687956398.08,10.02,涨停,放量涨停,10天10板,13:12:49,13:12:49,,10,汽车整车+核酸检测,14176714,159913333.92,9.91,2.39,0
001318.SZ,阳光乳业,21.93,1409758000,9.98,涨停,一字涨停||放量涨停,5天5板,09:30:00,09:30:00,,5,食品加工+新股+乳业,24006217,478683966.98,2317.91,33.96,0
002068.SZ,黑猫股份,11.5,7982529679.08,4.74,涨停,放量涨停,首板涨停,13:06:19,13:06:19,,1,炭黑+PVDF概念,5329669,58519765.62,20.59,0.73,0
002086.SZ,ST东洋,2.51,1654357678.94,-4.56,涨停,放量涨停,17天9板,14:02:15,14:53:58,,1,ST板块,290900,765067,1.73,0.05,4
002116.SZ,中国海诚,12.33,5259187748.82,-2.38,涨停,放量涨停,7天5板,09:45:45,09:50:00,,2,新型城镇化+建筑装饰,3561403,44980519.89,7.26,0.86,1
002121.SZ,科陆电子,6.04,6515461426.05,10.02,涨停,一字涨停||缩量涨停,3天3板,09:30:00,09:30:00,,3,控股股东变更+储能,49271050,270498064.5,1882.12,4.15,0
002137.SZ,实益达,6.23,2702722027.64,-9.97,涨停,T字涨停||放量涨停,4天4板,09:30:00,09:36:45,,4,数字文化传媒+抖音+无线耳机,18181652,125817031.84,30.78,4.66,1
002181.SZ,粤传媒,4.59,4730583846.09,10.07,涨停,放量涨停,首板涨停,14:48:32,14:48:32,,1,传媒,5719100,23848647,28.87,0.5,0
002194.SZ,武汉凡谷,9.99,4841286672.04,3.63,涨停,放量涨停,首板涨停,11:01:01,11:01:01,,1,汽车电子+通信设备+5G,11185760,107830726.4,44.35,2.23,0
002201.SZ,正威新材,17.55,7665439390.96,6.3,涨停,放量涨停,首板涨停,10:46:33,10:46:33,,1,建筑材料+风电+智慧灯杆,652400,10771124,4.47,0.14,0
002213.SZ,大为股份,12.82,2399900000,10.04,涨停,放量涨停,首板涨停,09:41:15,09:41:15,,1,资产出售+半导体+汽车零部件,4164200,48512930,121.59,2.02,0
002290.SZ,禾盛新材,7,1543459947.98,-1.82,涨停,放量涨停,首板涨停,10:34:16,10:34:16,,1,家电零部件,2776510,19796516.3,64.84,1.28,0
002350.SZ,北京科锐,7.3,3513628322.88,9.94,涨停,放量涨停,首板涨停,10:16:16,10:16:16,,1,储能+光伏+充电桩,15963009,105994379.76,77.57,3.02,0
002370.SZ,亚太药业,5.36,2794630238.88,-2.9,涨停,放量涨停,首板涨停,10:02:30,10:02:30,,1,医药+肝炎,7435800,41045616,16.18,1.47,0
002417.SZ,*ST深南,3.25,737376445.77,3.83,涨停,缩量涨停,首板涨停,10:08:45,10:08:45,,1,ST板块,2810438,8796670.94,25.03,1.19,0
002418.SZ,康盛股份,3.2,3759927472.5,-3.32,涨停,放量涨停,首板涨停,10:23:01,10:23:01,,1,家电零部件+新能源汽车,7493200,24802492,20.06,0.66,0
002420.SZ,毅昌科技,7.79,2764144140.12,10.03,涨停,放量涨停,2天2板,09:31:45,10:21:16,,2,新能源汽车+家电+军工,6528253,46220031.24,22.96,1.67,3
002630.SZ,华西能源,2.25,2360458872.36,-7.41,涨停,T字涨停||放量涨停,2天2板,09:30:00,09:31:15,,2,签订合同+电力设备,13877900,33723297,14.79,1.43,1
